round,pick_idx,smiles,mu,std,UCB,True f
0,1,CC(C)CCNC(=O)CN(C(=O)CCC(=O)Nc1ccccn1)c1ccc(F)c(Cl)c1,0.36368829011917114,0.8652644753456116,0.9755226373672485,0.5876055239152042
0,2,COc1cc(C(=O)NCCC(=O)NCc2ccc3c(c2)OCO3)cc(OC)c1OC,0.3115893006324768,0.9266494512557983,0.9668294191360474,0.5523079445430595
0,3,CC(C)N(C)c1nc2cc(C(=O)O)ccc2nc1-c1ccc(N2CCCC2)nc1,0.37692496180534363,0.8214741945266724,0.9577949047088623,0.5583574292711987
0,4,COc1cc2nc(N3CCN(C(=O)C4COc5ccc(S(=O)(=O)N(C)C)cc5O4)CC3)nc(N)c2cc1OC,0.2823198735713959,0.9407569169998169,0.947535514831543,0.6069465213787799
0,5,COc1ccc(C(=O)C=CC(=O)N(CC(=O)NC2CCCCC2)Cc2ccc(F)cc2)c(O)c1,0.27201780676841736,0.9425264000892639,0.9384845495223999,0.6910130750084056
1,1,COc1ccc(CCN(CC(=O)NC2CCCC2)C(=O)CCC(=O)Nc2cc(C)on2)cc1OC,0.4617994725704193,0.9041931629180908,1.1011605262756348,0.6082785532178302
1,2,COc1ccc(S(=O)(=O)N(Cc2ccc3c(c2)OCO3)C(CCC(=O)OC2CCCCC2)C(=O)O)cc1,0.4260033369064331,0.9022868275642395,1.0640164613723755,0.6338932715203645
1,3,COc1cc2nc(N3CCN(C(=O)C=Cc4ccc(F)cc4)CC3)nc(N)c2cc1OC,0.4604879915714264,0.8431668877601624,1.0566970109939575,0.6290567065972883
1,4,CC(C)N(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2CCC(N)=O,0.3909279704093933,0.925915002822876,1.0456488132476807,0.6199264598178783
1,5,COc1cc(C(=O)O)c(O)cc1NC(=O)NC(=O)c1ccc(F)cc1Cl,0.36048102378845215,0.9374784827232361,1.0233783721923828,0.4796457495003342
2,1,COc1ccc(N(CC(=O)NC2CCCC2)C(=O)Cn2nnc(-c3ccc(F)cc3)n2)cc1OC,0.5334805250167847,0.8668415546417236,1.1464300155639648,0.6046363748134636
2,2,COc1ccc2nc(O)c(CN(C)C(=O)C3CCCCC3)cc2c1,0.46193480491638184,0.9066247940063477,1.103015422821045,0.18857664086427148
2,3,COc1cccc(C(C(=O)NC(C)(C)C)N(C(=O)CCC(=O)Nc2cc(C)on2)c2ccc3c(c2)OCCO3)c1OC,0.45940566062927246,0.8919277191162109,1.0900938510894775,0.5730089714975654
2,4,COc1cc2nc(N3CCC(Nc4ccc(C(=O)O)cn4)CC3)nc(N)c2cc1OC,0.5181030035018921,0.8262709975242615,1.1023647785186768,0.6191236670552883
2,5,CCC(C(=O)NC1CCCC1)N(Cc1ccc2c(c1)OCO2)C(=O)c1snc(C(N)=O)c1N,0.45650970935821533,0.8945282697677612,1.0890367031097412,0.561542123068415
3,1,COc1ccc(C(=O)NCC(=O)N2CCN(Cc3ccc4c(c3)OCO4)CC2)cc1OC,0.5203588008880615,0.8515653610229492,1.1225063800811768,0.6395223391621813
3,2,Cc1cc(NC(=O)CSCC(=O)N(c2ccc(F)cc2)C(C(=O)NC2CCCCC2)c2ccc(O)c(O)c2)no1,0.5109180808067322,0.8638326525688171,1.1217399835586548,0.6546103116093696
3,3,COc1cccc(N(CC(=O)NC2CCCC2)C(=O)CCC(=O)Nc2nccs2)c1,0.5080066323280334,0.8481020331382751,1.1077053546905518,0.6193582090016001
